site_id,NDBI,lat,long,collector,ID,date,time_start,time_end,collection_window,weather,temperature,humidity,time_of_first_coll,time_to_first_coll_minutes,spec_first_coll,Total_Ae.aegypti,Females_Ae.aegypti,Total_Ae.albopictus,Females_Ae.albopictus
FMT-301,3,-3.087265,-60.03446,E,E,4/12/2022,9:00,10:00,9:00-10:00,medium cloud,27.6,88.1,,,,0,0,0,0
FMT-301,3,-3.087265,-60.03446,F,F,4/12/2022,12:00,13:00,12:00-13:00,light rain,26.6,95.5,,,,0,0,0,0
FMT-301,3,-3.087265,-60.03446,F,F,4/12/2022,15:00,16:00,15:00-16:00,light cloud,28.6,85.2,,,,0,0,0,0
FMT-301,3,-3.087265,-60.03446,E,E,4/12/2022,18:00,19:00,17:00-19:00,light cloud,26.2,87.4,18:19,19,Culex. Spp,0,0,0,0
FMT-205,2,-3.087746,-60.035396,E,E,4/13/2022,6:00,7:00,6:00-9:00,clear,24.8,92.8,,,,0,0,0,0
FMT-205,2,-3.087746,-60.035396,F,F,4/13/2022,9:00,10:00,9:00-10:00,clear,29.3,86.5,,,,0,0,0,0
FMT-205,2,-3.087746,-60.035396,F,F,4/13/2022,12:00,13:00,12:00-13:00,clear,33.5,71.8,12:06,6,Ae. albopictus,0,0,1,1
FMT-205,2,-3.087746,-60.035396,E,E,4/13/2022,15:00,16:00,15:00-16:00,clear,32.5,74.9,15:13,13,Ae. albopictus,0,0,1,1
FMT-205,2,-3.087746,-60.035396,E,E,4/13/2022,18:00,19:00,17:00-19:00,clear,27.4,88.6,18:17,17,Culex. Spp,0,0,0,0
FMT-1-6,1,,,E,E,,6:00,7:00,6:00-9:00,,,,,,,0,0,1,1
FMT-102,1,,,D,D,4/8/2021,9:00,10:00,9:00-10:00,Clear,30.1,75.1,9:56,56,Ae. albopictus,0,0,1,1
FMT-103,1,,,C,C,4/12/2021,9:00,10:00,9:00-10:00,Light cloud,36.6,61.5,9:16,16,Ae. albopictus,0,0,2,1
FMT-101,1,,,E,E,,9:00,10:00,9:00-10:00,,,,9:24,24,Ae. albopictus,0,0,2,2
FMT-1-9,1,,,E,E,,9:00,10:00,9:00-10:00,,,,,,,0,0,2,2
FMT-1-21,1,,,E,E,,21:00,22:00,19:00-22:00,,,,,,,0,0,0,0
FMT-2-6,2,,,E,E,,6:00,7:00,6:00-9:00,,,,,,,5,5,0,0
FMT-2-9,2,,,E,E,,9:00,10:00,9:00-10:00,,,,,,,2,2,0,0
FMT-2-12,2,,,E,E,,12:00,13:00,12:00-13:00,,,,,,,1,1,0,0
FMT-2-15,2,,,E,E,,15:00,16:00,15:00-16:00,,,,,,,1,1,0,0
FMT-2-18,2,,,E,E,,18:00,19:00,17:00-19:00,,,,,,,0,0,0,0
FMT-2-21,2,,,E,E,,21:00,22:00,19:00-22:00,,,,,,,0,0,0,0
FMT-3-6,3,,,E,E,,6:00,7:00,6:00-9:00,,,,,,,0,0,0,0
FMT-3-9,3,,,E,E,,9:00,10:00,9:00-10:00,,,,,,,0,0,0,0
FMT-3-12,3,,,E,E,,12:00,13:00,12:00-13:00,,,,,,,0,0,0,0
FMT-3-15,3,,,E,E,,15:00,16:00,15:00-16:00,,,,,,,0,0,0,0
FMT-3-18,3,,,E,E,,18:00,19:00,17:00-19:00,,,,,,,0,0,0,0
FMT-3-21,3,,,E,E,,21:00,22:00,19:00-22:00,,,,,,,0,0,0,0
